,Unnamed: 0,POSTCODE,SCHOOL_TYPE,SCHOOLNAME,WEBSITE,LATITUDE,LONGITUDE,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,normalized_postcode
391,391,KY11 1PL,Primary school,Carnegie Primary School,http://www.fifedirect.org.uk/carnegieps,56.077218,-3.406399,,,,,,,,KY111PL
392,392,KY12 9JG,Primary school,Carnock Primary School,http://www.fifedirect.org.uk/carnockps,56.084768,-3.540186,,,,,,,,KY129JG
393,393,DD7 7SS,Highschool,Carnoustie High School,http://www.carnoustiehigh.angus.sch.uk,56.505744,-2.724812,211,139,199,234,267,227,279,DD77SS
394,394,G33 2HF,Primary school,Carntyne Primary School,http://www.carntyne-pri.glasgow.sch.uk,55.864981,-4.193255,,,,,,,,G332HF
395,395,ML11 8GZ,Primary school,Carnwath Primary School,http://www.carnwath-pri.s-lanark.sch.uk/wordpress/,55.700102,-3.618122,,,,,,,,ML118GZ
396,396,G76 7TX,Primary school,Carolside Primary School,http://www.ea.e-renfrew.sch.uk/carolside/,55.783006,-4.280444,,,,,,,,G767TX
397,397,PA28 6SD,Primary school,Carradale Primary School,http://www.carradale.argyll-bute.sch.uk/,55.588212,-5.473448,,,,,,,,PA286SD
398,398,PH23 3AS,Primary school,Carrbridge Primary,http://carrbridgeadmin.edublogs.org/,57.283496,-3.813685,,,,,,,,PH233AS
399,399,KA19 8BP,Highschool,Carrick Academy,https://carrickacademysayr.weebly.com/,55.351954,-4.696003,169,241,258,150,130,160,232,KA198BP
400,400,EH12 7HU,Primary school,Carrick Knowe Primary School,http://www.carrickknowe.edin.sch.uk/,55.938377,-3.274601,,,,,,,,EH127HU
401,401,FK2 8EJ,Primary school,Carron Primary School,http://www.carron.falkirk.sch.uk,56.026574,-3.79311,,,,,,,,FK28EJ
402,402,FK3 9HP,Primary school,Carrongrange High School,http://www.carrongrange.falkirk.sch.uk,56.012304,-3.710631,,,,,,,,FK39HP
403,403,AB39 2GZ,Primary school,Carronhill School,http://www.carronhill.aberdeenshire.sch.uk/,56.961505,-2.228865,,,,,,,,AB392GZ
404,404,FK2 8AE,Primary school,Carronshore Primary School,http://www.carronshore.falkirk.sch.uk,56.03266,-3.781804,,,,,,,,FK28AE
405,405,DG1 4LD,Primary school,Carrutherstown School,https://blogs.glowscotland.org.uk/dg/CarrutherstownPrimarySchool/,55.034134,-3.407191,,,,,,,,DG14LD
406,406,ML11 8QY,Primary school,Carstairs Junction Primary School,http://www.carstairsjunction-pri.s-lanark.sch.uk/,55.688318,-3.666058,,,,,,,,ML118QY
407,407,ML11 8PT,Primary school,Carstairs Primary School,http://www.carstairs-pri.s-lanark.sch.uk/,55.694348,-3.689687,,,,,,,,ML118PT
408,408,KY6 2NZ,Primary school,Caskieberran Primary School,http://www.fifedirect.org.uk/caskieberranps,56.190345,-3.195349,,,,,,,,KY62NZ
409,409,DG7 1LQ,Highschool,Castle Douglas High School,http://www.dumgal.gov.uk/article/15536/Castle-Douglas-High-School,54.94858,-3.930138,98,237,117,137,176,156,174,DG71LQ
410,410,DG7 1JA,Primary school,Castle Douglas Primary School,https://blogs.glowscotland.org.uk/dg/cdps/,54.940755,-3.921973,,,,,,,,DG71JA
411,411,DG9 8RY,Primary school,Castle Kennedy School,http://www.dumgal.gov.uk/article/15448/Castle-Kennedy-Primary-School,54.896668,-4.953423,,,,,,,,DG98RY
412,412,HS9 5XD,Highschool,Castlebay School,https://castlebayschool.com/,56.95606,-7.496305,344,43,338,341,341,340,69,HS95XD
413,413,HS9 5XD,Highschool,Castlebay School,https://castlebayschool.com/,56.95606,-7.496305,344,43,338,341,341,340,69,HS95XD
414,414,EH16 4DT,Highschool,Castlebrae Community High School,http://www.castlebrae.edin.sch.uk/,55.92955,-3.13436,344,342,338,341,341,340,335,EH164DT
415,415,G75 9DH,Primary school,Castlefield Primary School,http://www.castlefield-pri.s-lanark.sch.uk/,55.746494,-4.202898,,,,,,,,G759DH
416,416,PA1 2HL,Highschool,Castlehead High School,http://www.castleheadhigh.renfrewshire.sch.uk/,55.83893,-4.433183,160,179,216,312,142,87,180,PA12HL
417,417,KY15 5JT,Primary school,Castlehill Primary School,http://www.fifedirect.org.uk/castlehillps,56.312989,-3.006406,,,,,,,,KY155JT
418,418,PA28 6LE,Primary school,Castlehill Primary School,https://www.argyll-bute.gov.uk/content/castlehill-primary-school,55.421638,-5.606085,,,,,,,,PA286LE
419,419,G61 4DL,Primary school,Castlehill Primary School,http://www.castlehill.e-dunbarton.sch.uk,55.923711,-4.35417,,,,,,,,G614DL
420,420,G45 9JY,Highschool,Castlemilk High School,http://www.castlemilkhigh.glasgow.sch.uk/,55.801268,-4.229638,318,249,282,201,248,159,308,G459JY
421,421,KA12 9LQ,Primary school,Castlepark Primary School,https://blogs.glowscotland.org.uk/na/castleparkprimary/,55.629816,-4.664516,,,,,,,,KA129LQ
422,422,G45 9NW,Primary school,Castleton Primary School,http://www.castleton-pri.glasgow.sch.uk/,55.804422,-4.241531,,,,,,,,G459NW
423,423,KW14 8UA,Primary school,Castletown Primary School,https://castletownprimary.wordpress.com/,58.588184,-3.38503,,,,,,,,KW148UA
424,424,EH16 4DP,Primary school,Castleview Primary School,https://castleviewprimary.wordpress.com/,55.930442,-3.135423,,,,,,,,EH164DP
425,425,FK8 1SD,Primary school,Castleview School,https://blogs.glowscotland.org.uk/st/castleview/,56.129472,-3.949369,,,,,,,,FK81SD
426,426,ML1 1DH,Primary school,Cathedral Primary School,http://www.cathedral.n-lanark.sch.uk/,55.797936,-3.992514,,,,,,,,ML11DH
427,427,G72 8ES,Highschool,Cathkin High School,http://www.cathkin.s-lanark.sch.uk/,55.812828,-4.181427,234,190,145,173,137,138,74,G728ES
428,428,G73 4AA,Primary school,Cathkin Primary School,http://www.cathkin-pri.s-lanark.sch.uk/,55.8066,-4.193015,,,,,,,,G734AA
429,429,KA5 6PS,Primary school,Catrine Primary School,https://blogs.glowscotland.org.uk/ea/catrinepsandecc/,55.498894,-4.329427,,,,,,,,KA56PS
430,430,AB39 2UL,Primary school,Catterline School,http://www.catterline.aberdeenshire.sch.uk/,56.89645,-2.215836,,,,,,,,AB392UL
431,431,IV2 4HZ,Primary school,Cauldeen Primary School,http://www.cauldeenprimary.co.uk/,57.458333,-4.218234,,,,,,,,IV24HZ
432,432,IV12 5XZ,Primary school,Cawdor Primary School,http://cawdorprimaryschool.edublogs.org/welcome/,57.527106,-3.933811,,,,,,,,IV125XZ
433,433,EH54 6FW,Primary school,Cedarbank School,http://www.cedarbankschool.westlothian.org.uk,55.896542,-3.517686,,,,,,,,EH546FW
434,434,IV3 5DW,Primary school,Central Primary School,http://centralprimaryschool.wordpress.com/,57.476126,-4.231856,,,,,,,,IV35DW
435,435,KY15 5NJ,Primary school,Ceres Primary School,http://www.fifedirect.org.uk/ceresps,56.29284,-2.967618,,,,,,,,KY155NJ
436,436,TD2 6PT,Primary school,Channelkirk Primary School,http://www.channelkirkprimaryschool.co.uk/,55.772375,-2.805638,,,,,,,,TD26PT
437,437,AB51 5HH,Primary school,Chapel Of Garioch School,http://www.chapelofgarioch.aberdeenshire.sch.uk/,57.309457,-2.464398,,,,,,,,AB515HH
438,438,G65 9EF,Primary school,Chapelgreen Primary School,http://www.northlanarkshire.gov.uk/index.aspx?articleid=5769,55.972408,-4.095227,,,,,,,,G659EF
439,439,ML6 8XW,Primary school,Chapelhall Primary School,http://www.northlanarkshire.gov.uk/index.aspx?articleid=5770,55.841938,-3.948621,,,,,,,,ML68XW
440,440,ML6 6LH,Primary school,Chapelside Primary School,http://www.chapelside.n-lanark.sch.uk/,55.872389,-3.9782,,,,,,,,ML66LH
441,441,ML10 6RS,Primary school,Chapelton Primary School,http://www.chapelton-pri.s-lanark.sch.uk/,55.711337,-4.098733,,,,,,,,ML106RS
442,442,IV3 8ET,Highschool,Charleston Academy,http://www.charleston.highland.sch.uk/,57.470819,-4.255865,207,145,160,104,215,280,196,IV38ET
443,443,AB12 3FH,Primary school,Charleston School,http://charleston.aberdeen.sch.uk/,57.096934,-2.093668,,,,,,,,AB123FH
444,444,ML3 7NT,Primary school,Chatelherault Primary School,http://www.chatelherault-pri.s-lanark.sch.uk/,55.764706,-4.037204,,,,,,,,ML37NT
445,445,TD11 3HX,Primary school,Chirnside Primary School,http://chirnside.weebly.com/contact.html,55.798175,-2.206954,,,,,,,,TD113HX
446,446,G22 7SB,Primary school,Chirnsyde Primary School,https://www.glasgow.gov.uk/index.aspx?articleid=17396,55.892226,-4.243586,,,,,,,,G227SB
447,447,G83 8PN,Primary school,Choices School,https://www.west-dunbarton.gov.uk/schools-and-learning/schools/school-search/choices-school/,55.998624,-4.570454,,,,,,,,G838PN
448,448,ML1 4SG,Primary school,Christ The King Primary,http://www.northlanarkshire.gov.uk/index.aspx?articleid=5772,55.822508,-3.968387,,,,,,,,ML14SG
449,449,G83 0DF,Primary school,Christie Park Primary School,https://sites.google.com/ourcloud.buzz/christiepark,55.988608,-4.585575,,,,,,,,G830DF
450,450,G69 9DL,Highschool,Chryston High School,http://www.northlanarkshire.gov.uk/index.aspx?articleid=5917,55.904125,-4.10447,147,211,129,117,87,104,89,G699DL
451,451,G69 9DW,Primary school,Chryston Primary School,http://www.chryston-pri.n-lanark.sch.uk/,55.90357,-4.104086,,,,,,,,G699DW
452,452,PA29 6XL,Primary school,Clachan Primary School,http://www.clachan.argyll-bute.sch.uk/,55.746972,-5.56294,,,,,,,,PA296XL
453,453,FK10 4JS,Primary school,Clackmannan Primary School,https://blogs.glowscotland.org.uk/cl/clackmannanprimary/,56.104602,-3.749735,,,,,,,,FK104JS
454,454,FK10 2SN,Primary school,Clackmannanshire Secondary School Support Service,http://clacks-sss.com/,56.133058,-3.842808,,,,,,,,FK102SN
455,455,ML6 7HE,Primary school,Clarkston Primary School,http://www.clarkston.n-lanark.sch.uk/,55.87257,-3.956742,,,,,,,,ML67HE
456,456,DD4 8TB,Primary school,Claypotts Castle Primary School,http://claypotts.ea.dundeecity.sch.uk/,56.476617,-2.899836,,,,,,,,DD48TB
457,457,G53 6NL,Primary school,Cleeves Primary School,http://www.cleeves-pri.glasgow.sch.uk/,55.814201,-4.356726,,,,,,,,G536NL
458,458,KY13 0LR,Primary school,Cleish Primary School,http://www.cleish.pkc.sch.uk/,56.166532,-3.459169,,,,,,,,KY130LR
459,459,ML1 5QN,Primary school,Cleland Primary School,http://www.northlanarkshire.gov.uk/index.aspx?articleid=5775,55.802119,-3.915327,,,,,,,,ML15QN
460,460,DD4 6TQ,Primary school,Clepington Primary School,http://clepingtonprimary.ea.dundeecity.sch.uk/,56.472804,-2.959174,,,,,,,,DD46TQ
461,461,AB42 2AX,Primary school,Clerkhill School,http://www.clerkhill.aberdeenshire.sch.uk/,57.503597,-1.804834,,,,,,,,AB422AX
462,462,EH4 7NP,Primary school,Clermiston Primary School,http://www.clermiston.edin.sch.uk/,55.960152,-3.291559,,,,,,,,EH47NP
463,463,G12 0JW,Highschool,Cleveden Secondary School,http://www.clevedensecondary.com/,55.886514,-4.303191,306,275,233,244,299,242,213,G120JW
464,464,G62 7PN,Primary school,Clober Primary School,http://www.clober.e-dunbarton.sch.uk,55.944406,-4.334478,,,,,,,,G627PN
465,465,DG3 5HP,Primary school,Closeburn School,https://dumgal.gov.uk/media/17542/Handbook-Closeburn-Primary-School/pdf/Closeburn_School_Prospectus_18-19.pdf?m=636796160587130000,55.213539,-3.72804,,,,,,,,DG35HP
466,466,TD1 3LQ,Primary school,Clovenfords Primary School,http://clovenfordsprimaryschool.co.uk/,55.616137,-2.875256,,,,,,,,TD13LQ
467,467,EH14 3EY,Primary school,Clovenstone Primary School,https://clovenstoneprimary.wordpress.com/,55.911546,-3.273736,,,,,,,,EH143EY
468,468,AB56 1PX,Primary school,Cluny Primary School,http://www.cluny.moray.sch.uk/,57.673788,-2.970272,,,,,,,,AB561PX
469,469,AB51 7JQ,Primary school,Cluny School,http://www.cluny.aberdeenshire.sch.uk/,57.197772,-2.499419,,,,,,,,AB517JQ
470,470,G13 4HG,Primary school,Clyde Primary School,https://blogs.glowscotland.org.uk/gc/clydeprimaryschool/,55.894322,-4.374316,,,,,,,,G134HG
471,471,ML2 0LS,Highschool,Clyde Valley High School,http://www.northlanarkshire.gov.uk/index.aspx?articleid=5918,55.75789,-3.916865,322,290,294,276,329,326,303,ML20LS
472,472,G81 3EJ,Highschool,Clydebank High School,http://www.clydebankhigh.org.uk/,55.911779,-4.412911,210,270,267,228,237,189,214,G813EJ
473,473,G81 4LB,Primary school,Clydemuir Primary School,https://sites.google.com/ourcloud.buzz/clydemuir/home,55.913297,-4.438482,,,,,,,,G814LB
474,474,PA19 1UX,Highschool,Clydeview Academy,http://clydeviewacademy.inverclyde.sch.uk/,55.951718,-4.8011,36,38,32,64,105,47,71,PA191UX
475,475,ML1 3RE,Primary school,Clydeview School,http://www.clydeview.n-lanark.sch.uk,55.797295,-4.013651,,,,,,,,ML13RE
476,476,ML11 0LH,Primary school,Coalburn Primary School,http://www.coalburn-pri.s-lanark.sch.uk/,55.590905,-3.889057,,,,,,,,ML110LH
477,477,FK13 6JU,Primary school,Coalsnaughton Primary School,https://blogs.glowscotland.org.uk/cl/coalsnaughton/,56.143396,-3.74007,,,,,,,,FK136JU
478,478,KY7 6HY,Primary school,Coaltown Of Balgonie Primary School,http://www.fifedirect.org.uk/coaltownofbalgonieps,56.186232,-3.128163,,,,,,,,KY76HY
479,479,KY1 4NR,Primary school,Coaltown of Wemyss Primary School,http://www.fifedirect.org.uk/coaltownofwemyssps,56.149899,-3.093021,,,,,,,,KY14NR
480,480,ML5 3NP,Highschool,Coatbridge High School,http://www.coatbridgehigh.org.uk/,55.863529,-4.017397,291,231,244,265,239,195,233,ML53NP
481,481,PA5 0BB,Primary school,Cochrane Castle Primary,https://blogs.glowscotland.org.uk/re/cochrane/,55.82769,-4.521929,,,,,,,,PA50BB
482,482,TD13 5XY,Primary school,Cockburnspath Primary School,https://cockburnspathprimary.wordpress.com/,55.932861,-2.364322,,,,,,,,TD135XY
483,483,EH32 0BX,Primary school,Cockenzie Primary School,http://www.edubuzz.org/cockenzie/,55.968807,-2.957672,,,,,,,,EH320BX
484,484,TD14 5NS,Primary school,Coldingham Primary School,https://coldinghamprimary.wordpress.com/,55.888361,-2.162173,,,,,,,,TD145NS
485,485,TD12 4DT,Primary school,Coldstream Primary School,http://www.coldstreamprimaryschool.co.uk/,55.65363,-2.256678,,,,,,,,TD124DT
486,486,G84 7TZ,Primary school,Colgrain Primary School,http://www.colgrain.argyll-bute.sch.uk,56.001098,-4.709582,,,,,,,,G847TZ
487,487,KY9 1LN,Primary school,Colinsburgh Primary School,http://www.fifedirect.org.uk/atoz/index.cfm?fuseaction=facility.display&FacId=D8FE81D0-7F8F-42F5-88BA755D9B935A4B,56.221158,-2.844137,,,,,,,,KY91LN
488,488,EH13 0AL,Primary school,Colinton Primary School,https://colintonprimaryschool.wordpress.com/,55.908366,-3.23663,,,,,,,,EH130AL
489,489,PH2 6HU,Primary school,Collace Primary School,http://www.blogs.glowscotland.org.uk/pk/collaceps,56.473629,-3.3051,,,,,,,,PH26HU
490,490,DG1 4JE,Primary school,Collin School,https://dumgal.gov.uk/article/15450/,55.067795,-3.525368,,,,,,,,DG14JE
491,491,DD11 3RR,Primary school,Colliston Primary School,http://www.colliston.angus.sch.uk,56.597625,-2.643762,,,,,,,,DD113RR
492,492,KY7 6TR,Primary school,Collydean Primary School,http://www.fifedirect.org.uk/collydeanps,56.21284,-3.186391,,,,,,,,KY76TR
493,493,KA26 0RY,Primary school,Colmonell Primary School,http://www.south-ayrshire.gov.uk/schools/colmonellprimary/,55.134312,-4.904754,,,,,,,,KA260RY
494,494,G61 1HD,Primary school,Colquhoun Park Primary School,http://www.colquhounpark.e-dunbarton.sch.uk,55.910448,-4.345541,,,,,,,,G611HD
495,495,ML2 8NA,Highschool,Coltness High School,http://www.coltnesshigh.n-lanark.sch.uk/,55.781503,-3.905577,229,221,220,226,217,211,289,ML28NA
496,496,DG5 4QD,Primary school,Colvend School,http://www.dumgal.gov.uk/article/15451/Colvend-Primary-School,54.872422,-3.764347,,,,,,,,DG54QD
497,497,FK1 1PZ,Primary school,Comely Park Primary School,http://www.comelypark.falkirk.sch.uk,55.995445,-3.785061,,,,,,,,FK11PZ
498,498,KY11 4BB,Primary school,Commercial Primary School,http://www.fifedirect.org.uk/commercialps,56.069834,-3.445117,,,,,,,,KY114BB
499,499,PH6 2LZ,Primary school,Comrie Primary School,http://www.comrieprimary.org.uk,56.375429,-3.989689,,,,,,,,PH62LZ
500,500,G67 4LA,Primary school,Condorrat Primary School,http://www.northlanarkshire.gov.uk/index.aspx?articleid=5777,55.936795,-4.021479,,,,,,,,G674LA
501,501,EH47 7HZ,Primary school,Connolly Campus School,https://www.westlothian.gov.uk/article/10404/Connolly-School-Campus,55.875903,-3.627987,,,,,,,,EH477HZ
502,502,EH26 9HE,Primary school,Cornbank Primary School,http://cornbank.mgfl.net/,55.831576,-3.238391,,,,,,,,EH269HE
503,503,AB16 5BL,Highschool,Cornhill School,http://www.cornhill.aberdeen.sch.uk/,57.159211,-2.136491,1,1,1,1,1,1,1,AB165BL
504,504,FK9 5DZ,Primary school,Cornton Primary School,http://www.cornton.stirling.sch.uk/,56.138495,-3.943971,,,,,,,,FK95DZ
505,505,G13 3BH,Primary school,Corpus Christi Primary School,http://www.corpuschristi-pri.glasgow.sch.uk/,55.88854,-4.349113,,,,,,,,G133BH
506,506,ML6 9TA,Primary school,Corpus Christi Primary School,http://www.northlanarkshire.gov.uk/index.aspx?articleid=5779,55.844468,-3.970295,,,,,,,,ML69TA
507,507,KA27 8JP,Primary school,Corrie Primary School,https://blogs.glowscotland.org.uk/na/corrieprimary/our-school/,55.647709,-5.14221,,,,,,,,KA278JP
508,508,PA10 2NT,Primary school,Corseford School,http://www.capability-scotland.org.uk/,55.81786,-4.543237,,,,,,,,PA102NT
509,509,KA13 7GW,Primary school,Corsehill Primary School,https://blogs.glowscotland.org.uk/na/corsehillprimary/,55.655383,-4.688257,,,,,,,,KA137GW
510,510,EH12 7SY,Primary school,Corstorphine Primary School,https://www.corstorphineprimary.co.uk/,55.940701,-3.285276,,,,,,,,EH127SY
511,511,DD8 4LX,Primary school,Cortachy Primary School,http://www.cortachy.angus.sch.uk,56.7251,-2.992357,,,,,,,,DD84LX
512,512,IV17 0RD,Primary school,Coulhill Primary School,http://coulhillprimaryblog.wordpress.com,57.697195,-4.268501,,,,,,,,IV170RD
513,513,ML12 6PZ,Primary school,Coulter Primary School,http://www.coulter-pri.s-lanark.sch.uk/,55.587581,-3.548038,,,,,,,,ML126PZ
514,514,AB15 6GU,Primary school,Countesswells School,https://sites.google.com/ab-ed.org/countesswells-school/home,57.13212,-2.150731,,,,,,,,AB156GU
515,515,PH13 9AS,Primary school,Coupar Angus Primary School,https://blogs.glowscotland.org.uk/pk/couparangusprimaryschool/,56.549619,-3.264093,,,,,,,,PH139AS
516,516,KY4 8JP,Primary school,Cowdenbeath Primary School,http://www.fifedirect.org.uk/cowdenbeathps,56.106427,-3.343786,,,,,,,,KY48JP
517,517,FK7 7BL,Primary school,Cowie Primary School,https://my.stirling.gov.uk/facilities/view/13,56.082666,-3.867488,,,,,,,,FK77BL
518,518,KA6 6JP,Primary school,Coylton Primary School,http://www.coylton.sayr.sch.uk,55.443688,-4.507677,,,,,,,,KA66JP
519,519,IV2 5DB,Primary school,Cradlehall Primary School,http://cradlehallps.wordpress.com,57.472965,-4.160581,,,,,,,,IV25DB
520,520,FK10 3EA,Primary school,Craigbank Primary School,https://blogs.glowscotland.org.uk/cl/craigbankps/,56.129547,-3.781793,,,,,,,,FK103EA
521,521,ML9 1EL,Primary school,Craigbank Primary School,http://www.craigbank-pri.s-lanark.sch.uk/,55.726629,-3.968812,,,,,,,,ML91EL
522,522,G62 7PZ,Primary school,Craigdhu Primary School,http://www.craigdhu.e-dunbarton.sch.uk,55.936126,-4.329384,,,,,,,,G627PZ
523,523,AB38 9SX,Primary school,Craigellachie Primary School,https://craigellachieprimary.wordpress.com/,57.489938,-3.185476,,,,,,,,AB389SX
524,524,EH7 6LR,Primary school,Craigentinny Primary School,http://craigentinnyps.uk/,55.96006,-3.144543,,,,,,,,EH76LR
525,525,G68 0LS,Primary school,Craighalbert-Scottish Centre for Children with Motor Impairments,http://www.craighalbert.org.uk/,55.95635,-4.014297,,,,,,,,G680LS
526,526,EH21 6UL,Primary school,Craighall Primary School,not available yet,55.936968,-3.071666,,,,,,,,EH216UL
527,527,G66 8DL,Primary school,Craighead Primary School,http://www.craighead.e-dunbarton.sch.uk/,55.965644,-4.161116,,,,,,,,G668DL
528,528,IV19 1EU,Primary school,Craighill Primary School,http://www.craighillprimary.wordpress.com,57.809312,-4.064588,,,,,,,,IV191EU
529,529,DD4 7QD,Highschool,Craigie High School,http://craigiehighschool.ea.dundeecity.sch.uk/,56.473005,-2.921957,309,316,325,331,330,291,316,DD47QD
530,530,PH2 0EE,Primary school,Craigie Primary School,www.craigieprimary.org.uk,56.389594,-3.441859,,,,,,,,PH20EE
531,531,DD4 7UH,Primary school,Craigiebarns Primary School,http://craigiebarnsprimary.ea.dundeecity.sch.uk/,56.472167,-2.916239,,,,,,,,DD47UH
532,532,AB33 8JE,Primary school,Craigievar School,http://www.craigievar.aberdeenshire.sch.uk/,57.184106,-2.704319,,,,,,,,AB338JE
533,533,EH11 1RG,Primary school,Craiglockhart Primary School,http://www.craiglockhart.edin.sch.uk/,55.931747,-3.227724,,,,,,,,EH111RG
534,534,PA14 6PP,Primary school,Craigmarloch School,http://craigmarloch.inverclyde.sch.uk/,55.919893,-4.654122,,,,,,,,PA146PP
535,535,EH12 8NH,Highschool,Craigmount High School,http://www.craigmount.edin.sch.uk/,55.945096,-3.304812,55,41,62,65,65,61,30,EH128NH
536,536,PA31 8QN,Primary school,Craignish Primary School,http://craignish.edublogs.org/,56.181308,-5.536587,,,,,,,,PA318QN
537,537,EH17 7HL,Primary school,Craigour Park Primary,http://www.craigourpark.edin.sch.uk,55.912988,-3.134741,,,,,,,,EH177HL
538,538,DD3 9NY,Primary school,Craigowl Primary School,http://craigowl.ea.dundeecity.sch.uk/,56.495517,-3.013431,,,,,,,,DD39NY
539,539,KY15 5QA,Primary school,Craigrothie Primary School,http://www.fifedirect.org.uk/craigrothieps,56.286194,-3.005718,,,,,,,,KY155QA
540,540,EH4 4NL,Highschool,Craigroyston Community High School,http://www.craigroyston.edin.sch.uk/,55.973532,-3.254093,342,336,326,340,293,330,325,EH44NL
541,541,EH4 4PX,Primary school,Craigroyston Primary School,https://craigroystonprimary.com/,55.968278,-3.254692,,,,,,,,EH44PX
542,542,G52 1AL,Primary school,Craigton Primary School & Nursery Class,http://www.craigton-pri.glasgow.sch.uk/default.aspx,55.848027,-4.327209,,,,,,,,G521AL
543,543,KY10 3UW,Primary school,Crail Primary School,http://www.fifedirect.org.uk/atoz/index.cfm?fuseaction=facility.display&FacId=BF0A0FF3-9E47-4A46-9F71AD19DC311014,56.261008,-2.629155,,,,,,,,KY103UW
544,544,EH4 6PG,Primary school,Cramond Primary School,http://cramondprimary.co.uk/,55.971454,-3.304449,,,,,,,,EH46PG
545,545,G33 3LT,Primary school,Cranhill Primary School,http://www.cranhill-pri.glasgow.sch.uk/,55.864881,-4.157496,,,,,,,,G333LT
546,546,AB31 5QR,Primary school,Crathes School,http://www.crathes.aberdeenshire.sch.uk/,57.080712,-2.442251,,,,,,,,AB315QR
547,547,AB35 5UL,Primary school,Crathie School,http://www.crathie.aberdeenshire.sch.uk/,57.039477,-3.209554,,,,,,,,AB355UL
548,548,ML12 6TP,Primary school,Crawford Primary School,http://www.crawford-pri.s-lanark.sch.uk/,55.467889,-3.65126,,,,,,,,ML126TP
549,549,ML8 4NZ,Primary school,Crawforddyke Primary School,http://www.crawforddyke-pri.s-lanark.sch.uk/,55.729477,-3.828239,,,,,,,,ML84NZ
550,550,DG8 7JR,Primary school,Creetown School,https://dumgal.gov.uk/media/17545/Handbook-Creetown-Primary-School/pdf/Creetown_Primary_and_Nursery_Handbook_2018-19.pdf?m=636800340615800000,54.904763,-4.374589,,,,,,,,DG87JR
551,551,FK20 8QN,Primary school,Crianlarich Primary School,https://blogs.glowscotland.org.uk/st/crianlarichps/,56.391891,-4.615973,,,,,,,,FK208QN
552,552,PH7 3JN,Highschool,Crieff High School,http://www.crieffhigh.pkc.sch.uk/,56.366081,-3.835263,143,95,200,59,100,110,86,PH73JN
553,553,PH7 3SE,Primary school,Crieff Primary School,http://www.crieff-pri.pkc.sch.uk/,56.367159,-3.838989,,,,,,,,PH73SE
554,554,AB43 8QL,Primary school,Crimond School,http://www.crimond.aberdeenshire.sch.uk/,57.600182,-1.913932,,,,,,,,AB438QL
555,555,G33 5NY,Primary school,Croftcroighn Primary School,http://www.croftcroighn-pri.glasgow.sch.uk,55.873549,-4.159815,,,,,,,,G335NY
556,556,G44 5QQ,Primary school,Croftfoot Primary School,https://blogs.glowscotland.org.uk/gc/croftfootprimary/,55.814861,-4.233831,,,,,,,,G445QQ
557,557,EH47 8HQ,Primary school,Croftmalloch Primary School,https://www.croftmallochprimary.westlothian.org.uk,55.861193,-3.682114,,,,,,,,EH478HQ
558,558,IV11 8XR,Primary school,Cromarty Primary School,https://cromartyprimary.wordpress.com/,57.681909,-4.034153,,,,,,,,IV118XR
559,559,AB32 6XZ,Primary school,Crombie School,http://www.crombie.aberdeenshire.sch.uk/,57.155954,-2.289574,,,,,,,,AB326XZ
560,560,G77 6LF,Primary school,Crookfur Primary School,http://www.ea.e-renfrew.sch.uk/crookfur/,55.785704,-4.331195,,,,,,,,G776LF
561,561,G53 5SD,Primary school,Crookston Castle Primary School,http://www.crookstoncastle-pri.glasgow.sch.uk,55.834095,-4.35327,,,,,,,,G535SD
562,562,G78 1JF,Primary school,Cross Arthurlie Primary School,https://blogs.glowscotland.org.uk/er/CrossArthurlie/,55.807338,-4.401175,,,,,,,,G781JF
563,563,KY12 8PE,Primary school,Crossford Primary School,http://www.fifedirect.org.uk/crossfordps,56.063777,-3.50525,,,,,,,,KY128PE
564,564,KY4 8AR,Primary school,Crossgates Primary School,http://www.fifedirect.org.uk/crossgatesps,56.083644,-3.38081,,,,,,,,KY48AR
565,565,KA19 7RH,Primary school,Crosshill Primary School,https://blogs.glowscotland.org.uk/sa/crosshillpsandeyc/,55.326487,-4.638627,,,,,,,,KA197RH
566,566,KA2 0JJ,Primary school,Crosshouse Communication Unit,https://blogs.glowscotland.org.uk/ea/crosshousepsecccoms2016/,55.611747,-4.551427,,,,,,,,KA20JJ
567,567,KA2 0JJ,Primary school,Crosshouse Primary School,https://blogs.glowscotland.org.uk/ea/crosshousepsecccoms2016/,55.611747,-4.551427,,,,,,,,KA20JJ
568,568,G75 8ZY,Primary school,Crosshouse Primary School,http://www.crosshouse-pri.s-lanark.sch.uk/,55.744501,-4.211277,,,,,,,,G758ZY
569,569,DG7 3AP,Primary school,Crossmichael School,http://www.dumgal.gov.uk/article/15453/Crossmichael-Primary-School,54.978643,-3.980476,,,,,,,,DG73AP
570,570,KW14 8XP,Primary school,Crossroads Primary School,https://www.highland.gov.uk/directory_record/521604/crossroads_primary,58.636438,-3.303204,,,,,,,,KW148XP
571,571,IV2 3JT,Primary school,Crown Primary School,http://crownprimaryblog.wordpress.com,57.476876,-4.217357,,,,,,,,IV23JT
572,572,IV2 5PG,Primary school,Croy Primary School,http://croyprimary.wordpress.com,57.520521,-4.011897,,,,,,,,IV25PG
573,573,AB53 5QD,Primary school,Crudie School,http://www.crudie.aberdeenshire.sch.uk/,57.605293,-2.339867,,,,,,,,AB535QD
