,Unnamed: 0,POSTCODE,SCHOOL_TYPE,SCHOOLNAME,WEBSITE,LATITUDE,LONGITUDE,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,normalized_postcode
204,204,KY5 8HU,Primary school,Benarty Primary School,https://online.fifedirect.org.uk/schoolsite/index.cfm?fuseaction=page.display&pageid=C410C4BC-DAD8-1BA4-A51263F2B31673B6&siteID=C410C476-9679-5C43-B7F90CF85A695632,56.159871,-3.322052,,,,,,,,KY58HU
205,205,ML11 0JD,Primary school,Bent Primary School,http://www.bent-pri.s-lanark.sch.uk/,55.660323,-3.932143,,,,,,,,ML110JD
206,206,ML2 7RB,Primary school,Berryhill Primary School,http://www.northlanarkshire.gov.uk/index.aspx?articleid=5760,55.777303,-3.941918,,,,,,,,ML27RB
207,207,PH1 0AU,Highschool,Bertha Park High School,https://www.berthaparkhigh.org.uk/,56.422207,-3.48498,*,*,*,*,*,340,335,PH10AU
208,208,DD10 0RU,Primary school,Bervie School,http://www.bervie.aberdeenshire.sch.uk/,56.845441,-2.280769,,,,,,,,DD100RU
209,209,TD11 3QG,Highschool,Berwickshire High School,https://bhs.scot/,55.773367,-2.356326,95,142,180,187,162,245,215,TD113QG
210,210,TD11 3QG,Highschool,Berwickshire High School,https://bhs.scot/,55.773367,-2.356326,95,142,180,187,162,245,215,TD113QG
211,211,ML12 6AG,Highschool,Biggar High School,http://www.biggar-pri.s-lanark.sch.uk/,55.620832,-3.522051,71,99,45,182,78,103,110,ML126AG
212,212,ML12 6ZJ,Primary school,Biggar Primary School,http://www.biggarprimary.co.uk/,55.623152,-3.521982,,,,,,,,ML126ZJ
213,213,EH25 9SD,Primary school,Bilston Primary School,https://bilston.mgfl.net/,55.86914,-3.184462,,,,,,,,EH259SD
214,214,DD2 5QD,Primary school,Birkhill Primary School,https://blogs.glowscotland.org.uk/an/birkhillprimaryschool/,56.496889,-3.05786,,,,,,,,DD25QD
215,215,IV3 5HX,Primary school,Bishop Eden's Primary School,http://bishopedens.wordpress.com,57.47848,-4.232884,,,,,,,,IV35HX
216,216,G64 1HZ,Highschool,Bishopbriggs Academy,http://www.bishopbriggs.e-dunbarton.sch.uk/,55.907813,-4.199069,9,12,11,10,10,10,18,G641HZ
217,217,IV30 4DY,Primary school,Bishopmill Primary School,https://blogs.glowscotland.org.uk/my/bishopmill/,57.654578,-3.325255,,,,,,,,IV304DY
218,218,PA7 5BE,Primary school,Bishopton Primary School,https://blogs.glowscotland.org.uk/re/bishopton/,55.909663,-4.505185,,,,,,,,PA75BE
219,219,ML12 6QZ,Primary school,Black Mount Primary School,http://www.walston-pri.s-lanark.sch.uk/,55.68,-3.51021,,,,,,,,ML126QZ
220,220,EH47 7HB,Primary school,Blackburn Primary School,http://www.blackburnprimary.westlothian.org.uk,55.876997,-3.630223,,,,,,,,EH477HB
221,221,PH4 1PZ,Primary school,Blackford Primary School,https://blogs.glowscotland.org.uk/pk/BlackfordPrimarySchool/,56.262074,-3.776649,,,,,,,,PH41PZ
222,222,G5 0SS,Primary school,Blackfriars Primary School,http://www.blackfriars-pri.glasgow.sch.uk,55.846677,-4.249075,,,,,,,,G50SS
223,223,EH4 3PH,Primary school,Blackhall Primary School,http://www.blackhall.edin.sch.uk,55.955451,-3.261388,,,,,,,,EH43PH
224,224,KA13 6JJ,Primary school,Blacklands Primary School,https://blogs.glowscotland.org.uk/na/blacklandsps/,55.649327,-4.704517,,,,,,,,KA136JJ
225,225,G74 2BP,Primary school,Blacklaw Primary School,http://www.blacklaw-pri.s-lanark.sch.uk/,55.761206,-4.155894,,,,,,,,G742BP
226,226,DD1 5RT,Primary school,Blackness Primary School,http://blackness.ea.dundeecity.sch.uk/,56.456743,-2.991871,,,,,,,,DD15RT
227,227,EH49 7NP,Primary school,Blackness Primary School,http://www.blackness.falkirk.sch.uk,55.998993,-3.535652,,,,,,,,EH497NP
228,228,EH48 3RJ,Primary school,Blackridge Primary School,http://www.blackridgeprimary.westlothian.org.uk,55.884932,-3.773826,,,,,,,,EH483RJ
229,229,ML11 9AT,Primary school,Blackwood Primary School,http://www.blackwood-pri.s-lanark.sch.uk/,55.670709,-3.921444,,,,,,,,ML119AT
230,230,PH18 5TB,Primary school,Blair Atholl Primary School,https://blogs.glowscotland.org.uk/pk/blairathollprimary/,56.764839,-3.838836,,,,,,,,PH185TB
231,231,G15 6HL,Primary school,Blairdardie Primary School,http://www.blairdardie-pri.glasgow.sch.uk,55.901215,-4.356966,,,,,,,,G156HL
232,232,PH10 6PW,Highschool,Blairgowrie High School,http://www.blairgowriehs.org.uk/,56.584525,-3.342477,299,188,185,168,257,313,259,PH106PW
233,233,KY12 9HG,Primary school,Blairhall Primary School,https://online.fifedirect.org.uk/schoolsite/index.cfm?fuseaction=page.display&pageid=3DD502D8-3ECE-41BB-828A-5414D07723A6&siteID=6A8C1246-FD50-7AEF-E3F41CF7982F5042,56.090728,-3.601438,,,,,,,,KY129HG
234,234,EH32 0BX,Primary school,Blindwells Primary School,not available yet,55.968807,-2.957672,,,,,,,,EH320BX
235,235,G61 2PL,Highschool,Boclair Academy,http://www.boclair.e-dunbarton.sch.uk,55.916386,-4.305698,15,11,31,28,9,15,6,G612PL
236,236,AB42 3NG,Primary school,Boddam School,http://boddam.aberdeenshire.sch.uk/,57.471569,-1.780122,,,,,,,,AB423NG
237,237,EH48 1JB,Primary school,Boghall Primary School,http://www.boghallprimary.westlothian.org.uk,55.900535,-3.606674,,,,,,,,EH481JB
238,238,EH13 0FJ,Primary school,Bonaly Primary School,https://bonalyprimaryschool.wordpress.com/,55.899263,-3.258955,,,,,,,,EH130FJ
239,239,IV24 3AP,Primary school,Bonar Bridge Primary School,https://bonarbridgeprimary.wordpress.com/,57.893857,-4.335621,,,,,,,,IV243AP
240,240,EH51 9AS,Highschool,Bo'ness Academy,http://www.bonessacademy.com/,56.009713,-3.598614,193,245,184,197,210,206,125,EH519AS
241,241,EH51 9NL,Primary school,Bo'ness Public School,http://www.boness.falkirk.sch.uk/,56.015402,-3.606822,,,,,,,,EH519NL
242,242,G83 9JA,Primary school,Bonhill Primary School,https://sites.google.com/ourcloud.buzz/bonhillprimaryschool/,55.979592,-4.571892,,,,,,,,G839JA
243,243,FK4 1LR,Primary school,Bonnybridge Primary School,http://www.bonnybridge.falkirk.sch.uk/,56.004238,-3.886059,,,,,,,,FK41LR
244,244,EH19 3HR,Primary school,Bonnyrigg Primary School,http://bonnyrigg.mgfl.net/,55.870869,-3.097395,,,,,,,,EH193HR
245,245,FK7 0QA,Primary school,Borestone Primary School,https://blogs.glowscotland.org.uk/st/borestoneprimary/,56.095778,-3.941384,,,,,,,,FK70QA
246,246,DG6 4SH,Primary school,Borgue School,http://www.dumgal.gov.uk/article/15438/Borgue-Primary-School,54.812683,-4.133099,,,,,,,,DG64SH
247,247,EH11 1FL,Highschool,Boroughmuir High School,http://www.boroughmuir.edin.sch.uk/,55.94102,-3.21456,4,6,6,9,12,9,5,EH111FL
248,248,DD10 9EZ,Primary school,Borrowfield Primary School,https://www.borrowfieldprimary.co.uk/,56.728821,-2.470026,,,,,,,,DD109EZ
249,249,G71 8PJ,Primary school,Bothwell Primary School,http://bothwell-pri.s-lanark.sch.uk/,55.804012,-4.075492,,,,,,,,G718PJ
250,250,ML1 2DL,Primary school,Bothwellpark High School,http://www.bothwellpark.n-lanark.sch.uk,55.777043,-3.976253,,,,,,,,ML12DL
251,251,AB55 5JF,Primary school,Botriphnie Primary School,https://www.botriphnie.moray.sch.uk/,57.483545,-3.036041,,,,,,,,AB555JF
252,252,KW1 4TT,Primary school,Bower Primary School,https://www.highland.gov.uk/directory_record/521582/bower_primary,58.543637,-3.308295,,,,,,,,KW14TT
253,253,FK3 0DZ,Primary school,Bowhouse Primary School,http://www.bowhouse.falkirk.sch.uk,56.004978,-3.711677,,,,,,,,FK30DZ
254,254,PA43 7JX,Primary school,Bowmore Primary Gaelic Unit,http://www.bowmore.argyll-bute.sch.uk/,55.755358,-6.291389,,,,,,,,PA437JX
255,255,PA43 7JX,Primary school,Bowmore Primary School,http://www.bowmore.argyll-bute.sch.uk,55.755358,-6.291389,,,,,,,,PA437JX
256,256,FK15 9QD,Primary school,Braco Primary School,https://blogs.glowscotland.org.uk/pk/BracoPrimaryWebsite/,56.265759,-3.879921,,,,,,,,FK159QD
257,257,AB45 3HA,Primary school,Bracoden School,http://www.bracoden.aberdeenshire.sch.uk/,57.667074,-2.322765,,,,,,,,AB453HA
258,258,ZE2 9QG,Highschool,Brae High School,http://www.brae.shetland.sch.uk/,60.395888,-1.351031,156,274,131,341,140,268,224,ZE29QG
259,259,ZE2 9QG,Highschool,Brae High School,http://www.brae.shetland.sch.uk/,60.395888,-1.351031,156,274,131,341,140,268,224,ZE29QG
260,260,FK7 7RG,Primary school,Braehead Primary School,https://blogs.glowscotland.org.uk/st/braeheadprimaryschool/,56.104644,-3.928404,,,,,,,,FK77RG
261,261,KA8 9PJ,Primary school,Braehead Primary School,http://www.braehead.sayr.sch.uk/,55.469958,-4.61009,,,,,,,,KA89PJ
262,262,G82 2BL,Primary school,Braehead Primary School,https://sites.google.com/ourcloud.buzz/braeheadprimary/home,55.949927,-4.563166,,,,,,,,G822BL
263,263,ML11 8EY,Primary school,Braehead Primary School,http://www.braehead-pri.s-lanark.sch.uk/,55.738425,-3.663447,,,,,,,,ML118EY
264,264,AB22 8RR,Primary school,Braehead School,https://braehead.aberdeen.sch.uk/,57.186043,-2.109045,,,,,,,,AB228RR
265,265,AB35 5ZS,Primary school,Braemar School,http://www.braemar.aberdeenshire.sch.uk/,57.00554,-3.396482,,,,,,,,AB355ZS
266,266,FK2 0DA,Highschool,Braes High School,https://blogs.glowscotland.org.uk/fa/schoolwebsite/,55.980979,-3.735251,103,141,91,62,26,31,44,FK20DA
267,267,DD4 0NL,Highschool,Braeview Academy,http://braeview.ea.dundeecity.sch.uk/home.htm,56.493963,-2.915027,334,329,330,333,339,321,328,DD40NL
268,268,G46 6ES,Primary school,Braidbar Primary School,http://www.ea.e-renfrew.sch.uk/braidbar/,55.806587,-4.283993,,,,,,,,G466ES
269,269,EH14 1ED,Primary school,Braidburn Special School,https://braidburnedinburgh.wordpress.com/,55.913723,-3.235028,,,,,,,,EH141ED
270,270,ML1 3XF,Highschool,Braidhurst High School,http://www.braidhurst.n-lanark.sch.uk/,55.801255,-3.998427,302,335,306,323,316,257,310,ML13XF
271,271,ML8 5PN,Primary school,Braidwood Primary School,http://www.braidwood-pri.s-lanark.sch.uk/,55.710971,-3.838675,,,,,,,,ML85PN
272,272,AB16 7BL,Primary school,Bramble Brae School,http://www.bramblebrae.aberdeen.sch.uk,57.166241,-2.147859,,,,,,,,AB167BL
273,273,ML1 5AU,Highschool,Brannock High School,http://www.brannock.n-lanark.sch.uk/,55.810877,-3.959485,265,279,243,235,254,309,264,ML15AU
274,274,PH15 2DU,Highschool,Breadalbane Academy,http://www.breadalbane.pkc.sch.uk/,56.616972,-3.869887,63,137,85,101,64,45,94,PH152DU
275,275,PH15 2DU,Highschool,Breadalbane Academy,http://www.breadalbane.pkc.sch.uk/,56.616972,-3.869887,63,137,85,101,64,45,94,PH152DU
276,276,HS2 9ED,Primary school,Breasclete Primary School,https://blogs.glowscotland.org.uk/es/breasclete/,58.2144,-6.739202,,,,,,,,HS29ED
277,277,DD9 6LB,Highschool,Brechin High School,http://www.brechinhigh.angus.sch.uk/,56.736735,-2.672443,282,291,292,319,206,319,274,DD96LB
278,278,PA2 9DJ,Primary school,Brediland Primary School,http://www.brediland.renfrewshire.sch.uk/,55.829954,-4.457704,,,,,,,,PA29DJ
279,279,FK9 4SY,Primary school,Bridge Of Allan Primary,https://blogs.glowscotland.org.uk/st/BridgeofAllanPrimarySchool/,56.147379,-3.940234,,,,,,,,FK94SY
280,280,AB22 8RR,Highschool,Bridge Of Don Academy,http://www.bridgeofdon.aberdeen.sch.uk/,57.184756,-2.111093,72,207,193,146,192,238,177,AB228RR
281,281,PA11 3QB,Primary school,Bridge Of Weir Primary School,https://blogs.glowscotland.org.uk/re/bridgeofweirprimary/,55.861548,-4.579361,,,,,,,,PA113QB
282,282,IV17 0QA,Primary school,Bridgend Primary School,http://bridgendprimaryblog.wordpress.com,57.698024,-4.255312,,,,,,,,IV170QA
283,283,EH49 6NZ,Primary school,Bridgend Primary School,http://www.bridgendprimary.westlothian.org.uk,55.961899,-3.534983,,,,,,,,EH496NZ
284,284,AB21 9DF,Primary school,Brimmond School,https://www.brimmond.aberdeen.sch.uk,57.173439,-2.188475,,,,,,,,AB219DF
285,285,IV49 9AQ,Primary school,Broadford Primary School,https://www.highland.gov.uk/directory_record/521918/broadford_primary,57.239897,-5.902861,,,,,,,,IV499AQ
286,286,KA27 8DW,Primary school,Brodick Primary School,https://blogs.glowscotland.org.uk/na/brodickprimary/our-school/,55.581989,-5.159092,,,,,,,,KA278DW
287,287,G11 7HZ,Primary school,Broomhill Primary School,http://www.broomhill-pri.glasgow.sch.uk/,55.879859,-4.320656,,,,,,,,G117HZ
288,288,AB10 6JF,Primary school,Broomhill School,https://www.broomhill.aberdeen.sch.uk,57.132032,-2.124052,,,,,,,,AB106JF
289,289,EH11 3RQ,Primary school,Broomhouse Primary School,https://broomhouseprimaryschool.wordpress.com/,55.928405,-3.273153,,,,,,,,EH113RQ
290,290,TD5 7SW,Primary school,Broomlands Primary School,http://broomlandsprimary.co.uk/,55.606873,-2.427208,,,,,,,,TD57SW
291,291,G22 5AX,Primary school,Broomlea Primary School,https://www.glasgow.gov.uk/index.aspx?articleid=18154,55.881025,-4.249639,,,,,,,,G225AX
292,292,KW9 6PF,Primary school,Brora Primary School,http://www.broraprimary.wordpress.com,58.009292,-3.856787,,,,,,,,KW96PF
293,293,ML12 6HQ,Primary school,Broughton Central P School,https://www.scotborders.gov.uk/directory_record/20093/broughton_primary_school,55.610442,-3.409471,,,,,,,,ML126HQ
294,294,EH4 1EG,Highschool,Broughton High School,http://www.broughton.edin.sch.uk/,55.960676,-3.221954,261,198,260,130,148,186,142,EH41EG
295,295,EH7 4LD,Primary school,Broughton Primary School,http://www.broughton-pri.edin.sch.uk/,55.965417,-3.188981,,,,,,,,EH74LD
296,296,DG1 4TU,Primary school,Brownhall School,https://blogs.glowscotland.org.uk/dg/brownhallprimary/sample-page/,55.047304,-3.596215,,,,,,,,DG14TU
297,297,EH52 6AG,Highschool,Broxburn Academy,http://www.broxburnacademy.westlothian.org.uk,55.936957,-3.48789,133,67,68,210,50,58,73,EH526AG
298,298,EH52 5RP,Primary school,Broxburn Primary School,http://www.broxburnprimary.westlothian.org.uk,55.935798,-3.473303,,,,,,,,EH525RP
299,299,EH15 3BE,Primary school,Brunstane Primary School,http://brunstaneprimaryschool.com/,55.941815,-3.103692,,,,,,,,EH153BE
300,300,EH10 4NA,Primary school,Bruntsfield Primary School,http://www.bruntsfieldprimaryschool.com,55.937261,-3.210411,,,,,,,,EH104NA
301,301,DG12 5LX,Primary school,Brydekirk School,https://blogs.glowscotland.org.uk/dg/BrydekirkPrimaryNewsWorld/,55.02277,-3.277259,,,,,,,,DG125LX
302,302,IV22 2JH,Primary school,Bualnaluib Primary School,http://www.spanglefish.com/bualnaluibprimaryschool/,57.848474,-5.597534,,,,,,,,IV222JH
303,303,ML5 2HT,Primary school,Buchanan High,https://blogs.glowscotland.org.uk/nl/buchananhighschoolblog/,55.868804,-4.054064,,,,,,,,ML52HT
304,304,AB42 1HD,Primary school,Buchanhaven School,http://www.buchanhaven.aberdeenshire.sch.uk/,57.51305,-1.795954,,,,,,,,AB421HD
305,305,FK8 3NB,Primary school,Buchlyvie Primary School,https://blogs.glowscotland.org.uk/st/buchlyvieprimary/,56.115586,-4.295809,,,,,,,,FK83NB
306,306,KY8 1JZ,Primary school,Buckhaven Primary School,http://www.fifedirect.org.uk/buckhavenps,56.173033,-3.03154,,,,,,,,KY81JZ
307,307,AB56 1QB,Highschool,Buckie High School,http://www.buckiehigh.com/,57.672695,-2.96989,276,269,280,307,246,210,193,AB561QB
308,308,AB21 9DG,Highschool,Bucksburn Academy,https://www.bucksburnacademy.org.uk/,57.177357,-2.182527,225,262,269,124,177,214,126,AB219DG
309,309,EH10 6UY,Primary school,Buckstone Primary School,http://www.buckstone.edin.sch.uk/,55.905911,-3.195907,,,,,,,,EH106UY
310,310,PA67 6DL,Primary school,Bunessan Primary School,http://www.bunessan.argyll-bute.sch.uk/,56.318291,-6.22071,,,,,,,,PA676DL
311,311,PA67 6DL,Primary school,Bunessan Primary School Gaelic Unit,https://www.argyll-bute.gov.uk/content/bunessan-primary-school,56.318291,-6.22071,,,,,,,,PA676DL
312,312,G20 8LY,Primary school,Bun-sgoil Ghaidhlig a Challtainn - Calton Gaelic School,blogs.glowscotland.org.uk/gc/northkelvinsideprimary/home/,55.883107,-4.281115,,,,,,,,G208LY
313,313,IV2 6BA,Primary school,Bun-sgoil Ghaidhlig Inbhir Nis,http://bunsgoilghaidhliginbhirnis.wordpress.com/,57.450445,-4.219911,,,,,,,,IV26BA
314,314,PH33 7JE,Primary school,Bun-sgoil Ghaidhlig Loch Abar,http://www.bsgla.co.uk/,56.84108,-5.096473,,,,,,,,PH337JE
315,315,IV51 9EG,Primary school,Bun-Sgoil Ghaidhlig Phort Righ,https://www.highland.gov.uk/directory_record/842622/bun-sgoil_ghaidhlig_phort_righ/category/380/primary,57.412766,-6.211062,,,,,,,,IV519EG
316,316,IV44 8RF,Primary school,Bun-Sgoil Shleite,http://www.bunsgoilshleite.com/index.asp,57.08982,-5.871596,,,,,,,,IV448RF
317,317,EH6 5NQ,Primary school,Bun-sgoil Taobh na Pairce (Parkside Primary),http://www.taobhnapairce.edin.sch.uk/,55.970572,-3.17983,,,,,,,,EH65NQ
318,318,TD1 1EZ,Primary school,Burgh Primary School,https://www.scotborders.gov.uk/directory_record/20094/burgh_primary_school,55.616556,-2.810408,,,,,,,,TD11EZ
319,319,G73 1DS,Primary school,Burgh Primary School,http://www.burgh-pri.s-lanark.sch.uk/,55.829342,-4.211365,,,,,,,,G731DS
320,320,IV30 5UQ,Primary school,Burghead Primary School,https://burgheadadmin.wordpress.com/a-warm-welcome-to-burghead-primary/,57.700947,-3.48718,,,,,,,,IV305UQ
321,321,EH19 3GB,Primary school,Burnbrae Primary School,http://burnbrae.mgfl.net/,55.865633,-3.106408,,,,,,,,EH193GB
322,322,TD9 8EQ,Primary school,Burnfoot Community School,http://www.burnfoot.scotborders.sch.uk/,55.438148,-2.76831,,,,,,,,TD98EQ
323,323,AB42 0YX,Primary school,Burnhaven School,http://www.burnhaven.aberdeenshire.sch.uk/,57.488945,-1.793002,,,,,,,,AB420YX
324,324,EH47 0BX,Primary school,Burnhouse Skills Centre,http://www.westlothian.gov.uk/article/3274/Burnhouse-School,55.862062,-3.690812,,,,,,,,EH470BX
325,325,DD7 7JZ,Primary school,Burnside Primary School,https://blogs.glowscotland.org.uk/an/burnsideprimaryschool/,56.497825,-2.736784,,,,,,,,DD77JZ
326,326,G73 4JE,Primary school,Burnside Primary School,http://www.burnside-pri.s-lanark.sch.uk/,55.816378,-4.20458,,,,,,,,G734JE
327,327,KY3 0LJ,Primary school,Burntisland Primary School,http://www.fifedirect.org.uk/burntislandps,56.064492,-3.230143,,,,,,,,KY30LJ
328,328,ZE2 9AY,Primary school,Burravoe Primary School,http://www.burravoe.shetland.sch.uk/,60.498599,-1.05524,,,,,,,,ZE29AY
329,329,KW17 2SS,Primary school,Burray Primary School,http://vikingnewmedia.net/burray/,58.846614,-2.916854,,,,,,,,KW172SS
